"1403","cornell-college","Cornell College","Cornell College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1404","covenant","Covenant","Covenant College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1405","creighton","Creighton","Creighton University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1406","crown-mn","Crown (MN)","Crown College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1407","curry","Curry","Curry College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1408","daemen","Daemen","Daemen College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1409","dallas","Dallas","University of Dallas","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1410","dallas-baptist","Dallas Baptist","Dallas Baptist University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1411","daniel-webster","Daniel Webster","Daniel Webster College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1412","dartmouth","Dartmouth","Dartmouth College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1413","davenport","Davenport","Davenport University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1414","davidson","Davidson","Davidson College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1415","davis-elkins","Davis & Elkins","Davis and Elkins College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1416","dayton","Dayton","University of Dayton","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1417","dean-college","Dean College","Dean College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1418","delaware","Delaware","University of Delaware","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1419","delaware-st","Delaware St.","Delaware State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1420","delaware-valley","Delaware Valley","Delaware Valley College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1421","delta-st","Delta St.","Delta State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1422","denison","Denison","Denison University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1423","denver","Denver","University of Denver","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1424","depaul","DePaul","DePaul University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1425","depauw","DePauw","DePauw University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1426","desales","DeSales","DeSales University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1427","detroit","Detroit","University of Detroit Mercy","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1428","dickinson","Dickinson","Dickinson College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1429","dist-columbia","Dist. Columbia","University of the District of Columbia","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1430","dominican-ca","Dominican (Cal.)","Dominican University of California","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1431","dominican-il","Dominican (IL)","Dominican University (Ill.)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1432","dominican-ny","Dominican (NY)","Dominican College (N.Y.)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1433","dowling","Dowling","Dowling College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1434","drake","Drake","Drake University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1435","drew","Drew","Drew University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1436","drexel","Drexel","Drexel University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1437","drury","Drury","Drury University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1438","dubuque","Dubuque","University of Dubuque","2025-12-11 13:41:18","2025-12-11 13:41:18"
